PO Number,Supplier Name,Hub Name,Request Quantity,Drop Quantity,Drop Date,Status
AMPO8250372979,Publix Metro Ltd,Hajaribag Hub,1,1,1/1/2021 0:00,Picked
AMPO3153129738,Publix Metro Ltd,Hajaribag Hub,1,1,1/1/2021 0:00,Picked
AMPO7037167031,Publix Metro Ltd,Hajaribag Hub,1,1,1/1/2021 0:00,Picked
AMPO4263027413,Publix Metro Ltd,Hajaribag Hub,1,1,1/1/2021 0:00,Picked
AMPO6816652909,Publix Metro Ltd,Hajaribag Hub,1,1,1/1/2021 0:00,Picked
AMPO5675384759,Publix Metro Ltd,Hajaribag Hub,1,1,1/1/2021 0:00,Picked
AMPO5578753988,Publix Metro Ltd,Hajaribag Hub,1,1,1/1/2021 0:00,Picked
AMPO2004718812,Publix Metro Ltd,Hajaribag Hub,1,1,1/1/2021 0:00,Picked
,,,,,,
